Название,Издатель,Продажи (млн),Дата выхода,Жанр,Цена
Grand Theft Auto,Rockstar Games,440.00m,27th Mar 98,Action,$58.37
Minecraft,Mojang,300.00m,18th Nov 11,"Action, Adventure, Casual + 1",$13.69
Grand Theft Auto V,Rockstar Games,210.00m,17th Sep 13,"Action, Adventure",$9.34
Assassin's Creed,Ubisoft,200.00m,13th Nov 07,"Action, Adventure",$2.54
The Sims,Electronic Arts,200.00m,04th Feb 00,Simulation,$28.48
Resident Evil,Capcom,167.00m,30th Mar 96,"Action, Adventure",$3.56
Tomb Raider,Eidos Interactive,153.00m,14th Nov 96,"Action, Adventure",$2.44
Need for Speed,Electronic Arts,150.00m,31st Aug 94,Racing,$14.82
Borderlands,2K Games,91.00m,20th Oct 09,"Action, RPG",$4.99
God of War,Sony Interactive Entertainment,76.55m,22nd Mar 05,"Action, Adventure, RPG",$18.99
Worms,Team17,75.00m,31st Oct 95,Strategy,$0.98
Red Dead Redemption 2,Rockstar Games,70.00m,26th Oct 18,"Action, Adventure",$12.56
The Oregon Trail,MECC,65.00m,03rd Dec 71,"Adventure, Casual",$26.96
Counter-Strike,Valve,65.00m,09th Nov 00,Action,$9.99
The Elder Scrolls V: Skyrim,Bethesda Softworks,60.00m,10th Nov 11,RPG,$5.92
Terraria,505 Games,58.70m,16th May 11,"Action, Adventure, Indie + 1",$2.52
Far Cry,Ubisoft,52.50m,23rd Mar 04,Action,$2.19
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,50.00m,18th May 15,RPG,$10.92
BioShock,2K Games,43.00m,21st Aug 07,"Action, RPG",$4.76
Stardew Valley,Chucklefish,41.00m,26th Feb 16,"Indie, RPG, Simulation",$14.20
Medal of Honor,Electronic Arts,39.00m,31st Oct 99,Action,$5.70
Tom Clancy's Ghost Recon,Ubisoft,35.00m,13th Nov 01,Action,$1.41
Saints Row,THQ,33.70m,29th Aug 06,"Action, Adventure",$2.39
Horizon,Sony Interactive Entertainment,32.70m,28th Feb 17,"Adventure, Indie, Simulation + 1",$4.39
Tom Clancy's Splinter Cell,Ubisoft,31.00m,17th Nov 02,Action,$2.24
Call of Duty: Black Ops II,Activision,31.00m,13th Nov 12,Action,$27.84
Call of Duty: Black Ops,Activision,30.00m,09th Nov 10,Action,$39.99
Borderlands 2,2K Games,30.00m,18th Sep 12,"Action, RPG",$2.98
Diablo III,Blizzard Entertainment,30.00m,15th May 15,"Action, RPG",$9.99
Cyberpunk 2077,CD Projekt Red Studio,30.00m,10th Dec 20,RPG,$29.93
Dying Light,Techland,30.00m,27th Jan 15,"Action, RPG",$4.08
Hogwarts Legacy,Warner Bros. Interactive Entertainment,30.00m,10th Feb 23,"Action, Adventure, RPG",$12.93
Call of Duty: Vanguard,Activision,30.00m,05th Nov 21,Action,$59.99
Monster Hunter: World,Capcom,28.10m,26th Jan 18,Action,$6.98
Grand Theft Auto: San Andreas,Rockstar Games,27.50m,26th Oct 04,Action,$51.50
Portal,Valve,27.03m,10th Oct 07,Action,$9.99
FIFA 18,Electronic Arts,26.40m,26th Sep 17,Sports,$125.54
Grand Theft Auto IV,Rockstar Games,25.00m,02nd Dec 08,"Action, Adventure",$6.82
Fallout 4,Bethesda Softworks,25.00m,10th Nov 15,RPG,$5.29
Borderlands 3,2K Games,22.00m,13th Sep 19,"Action, RPG",$4.63
Phasmophobia,Kinetic Games,22.00m,18th Sep 20,"Action, Early Access, Indie",$14.99
Battlefield 1,Electronic Arts,21.00m,21st Oct 16,Action,$7.48
Prince of Persia,Ubisoft,20.00m,03rd Aug 89,"Action, Adventure",$1.96
Rayman Raving Rabbids,Ubisoft,20.00m,19th Nov 06,"Action, Adventure",$0.92
Sniper Elite,Rebellion Developments,20.00m,18th Oct 05,Action,$3.11
SimCity,Maxis,20.00m,02nd Feb 89,05 Mar 2013,$6.55
Tom Clancy's The Division,Ubisoft,20.00m,08th Mar 16,"Action, Adventure, RPG",$3.96
FIFA 19,EA Sports,20.00m,28th Sep 18,Sports,$69.73
Crash Bandicoot N. Sane Trilogy,Activision,20.00m,30th Jun 17,Action,$15.99
It Takes Two,Electronic Arts,20.00m,26th Mar 21,"Action, Adventure",$12.92
Call of Duty: Ghosts,Activision,19.00m,05th Nov 13,Action,$27.84
The Elder Scrolls Online,Bethesda Softworks,18.00m,04th Apr 14,"Action, Adventure, Massively Multiplayer + 1",$5.29
